date,cases,deaths,test_positive,test_total
2020-03-20,413,1,296,2666
2020-03-21,525,1,328,3031
2020-03-22,646,5,362,3403
2020-03-23,777,9,392,3722
2020-03-24,1159,11,423,4059
2020-03-25,1838,15,500,4774
2020-03-26,2417,25,551,23621
2020-03-27,3240,35,665,29371
2020-03-28,4257,44,718,35049
2020-03-29,4955,48,719,39066
2020-03-30,5752,56,768,42793
2020-03-31,6620,89,768,46935
2020-04-01,7738,122,807,51738
2020-04-02,8966,154,912,56608
2020-04-03,10402,192,893,62962
2020-04-04,11736,216,928,68800
2020-04-05,12500,231,1021,71937
2020-04-06,13837,260,1133,76429
2020-04-07,15202,356,1231,81344
2020-04-08,16790,433,1291,87511
2020-04-09,18941,503,1397,94958
2020-04-10,20974,599,1444,102372
2020-04-11,22860,686,1447,108776
2020-04-12,25475,756,1589,116730
2020-04-13,26867,844,1628,122049
2020-04-14,28163,957,1628,126551
2020-04-15,29918,1108,1674,132023
2020-04-16,32181,1245,1760,140773
2020-04-17,34402,1404,1793,148744
2020-04-18,36372,1560,1859,156806
2020-04-19,38077,1706,1931,162241
2020-04-20,39643,1809,39643,169398
2020-04-21,41199,1961,41199,175372
2020-04-22,42944,2182,42944,180462
2020-04-23,46023,2360,46023,195076
2020-04-24,50969,2556,50969,215213
2020-04-25,53348,2730,53348,226845
2020-04-26,54938,2899,54938,236100
2020-04-27,56462,3003,56462,244887
2020-04-28,58302,3153,58302,254500
2020-04-29,60265,3405,60265,265618
2020-04-30,62205,3562,62205,275647
2020-05-01,64311,3716,64311,289636
2020-05-02,66263,3846,66263,298994
2020-05-03,68087,4004,68087,314646
2020-05-04,69087,4090,69087,324268
2020-05-05,70271,4212,70271,333349
2020-05-06,72025,4420,72025,339639
2020-05-07,73721,4552,73721,351632
2020-05-08,75333,4702,75333,366023
2020-05-09,76743,4840,76743,376537
2020-05-10,77793,4979,77793,388389
2020-05-11,78462,5108,78462,394728
2020-05-12,79332,5141,79332,401496
2020-05-13,80497,5315,80497,410032
2020-05-14,82182,5482,82182,424361
